track_id,mean_growth_velocity,mean_shrink_velocity,catastrophes,rescues,dynamicity,total_frames
0,118.54545454545455,-108.66666666666667,13,14,108.66666666666667,49
1,184.0,-58.666666666666664,2,1,108.8,6
2,82.66666666666667,-40.0,1,1,54.666666666666664,7
4,109.33333333333333,-72.0,2,1,76.44444444444444,10
5,216.0,0.0,0,0,216.0,2
6,50.08695652173913,-57.6,14,11,48.0,49
7,60.8,-46.666666666666664,3,4,48.666666666666664,13
10,120.0,-64.0,0,1,82.66666666666667,4
11,0.0,-40.0,0,0,40.0,2
12,32.888888888888886,-28.444444444444443,10,11,26.285714285714285,43
13,20.0,0.0,0,0,20.0,3
15,0.0,0.0,0,0,0.0,2
19,0.0,-120.0,0,0,120.0,2
20,212.0,-264.0,2,1,238.0,5
23,0.0,-136.0,0,0,136.0,2
29,165.33333333333334,-121.6,3,3,110.4,11
30,48.0,0.0,0,0,48.0,3
31,84.5,-78.11764705882354,10,11,78.82352941176471,35
34,48.0,-272.0,1,0,160.0,3
36,70.0,-40.0,2,2,48.888888888888886,10
38,8.0,0.0,0,0,8.0,2
40,132.0,-85.33333333333333,2,2,104.0,6
42,0.0,-8.0,0,0,8.0,2
43,0.0,-448.0,0,0,448.0,2
44,32.0,0.0,0,0,32.0,2
45,0.0,-80.0,0,0,80.0,3
46,72.0,0.0,0,0,72.0,2
48,64.0,-24.0,1,0,44.0,3
49,0.0,-208.0,0,0,208.0,2
51,48.0,0.0,0,0,48.0,2
53,120.0,-200.0,0,1,160.0,3
54,84.0,0.0,0,0,84.0,3
55,0.0,-56.0,0,0,56.0,3
59,208.0,-210.66666666666666,1,1,210.0,5
60,108.0,-61.333333333333336,0,1,80.0,6
61,56.0,-24.0,0,1,34.666666666666664,4
64,152.0,0.0,0,0,152.0,2
65,48.0,-56.0,0,1,50.666666666666664,4
67,8.0,-8.0,0,1,8.0,3
68,0.0,-320.0,0,0,320.0,2
69,0.0,-104.0,0,0,104.0,2
