track_id,mean_growth_velocity,mean_shrink_velocity,catastrophes,rescues,dynamicity,total_frames,mean_growth_velocity_um_s,mean_shrink_velocity_um_s,dynamicity_um_s
0,118.54545454545456,-108.66666666666669,13,14,108.66666666666669,49,11.854545454545457,-10.866666666666669,10.866666666666669
1,184.0,-58.66666666666666,2,1,108.8,6,18.400000000000002,-5.866666666666666,10.88
2,82.66666666666667,-40.0,1,1,54.66666666666666,7,8.266666666666667,-4.0,5.466666666666666
4,109.33333333333331,-72.0,2,1,76.44444444444444,10,10.933333333333332,-7.2,7.644444444444445
5,216.0,0.0,0,0,216.0,2,21.6,0.0,21.6
6,50.08695652173913,-57.6,14,11,48.0,49,5.008695652173913,-5.760000000000001,4.800000000000001
7,60.8,-46.66666666666666,3,4,48.66666666666666,13,6.08,-4.666666666666666,4.866666666666666
10,120.0,-64.0,0,1,82.66666666666667,4,12.0,-6.4,8.266666666666667
11,0.0,-40.0,0,0,40.0,2,0.0,-4.0,4.0
12,32.888888888888886,-28.444444444444443,10,11,26.285714285714285,43,3.2888888888888888,-2.8444444444444446,2.6285714285714286
13,20.0,0.0,0,0,20.0,3,2.0,0.0,2.0
15,0.0,0.0,0,0,0.0,2,0.0,0.0,0.0
19,0.0,-120.0,0,0,120.0,2,0.0,-12.0,12.0
20,212.0,-264.0,2,1,238.0,5,21.200000000000003,-26.400000000000002,23.8
23,0.0,-136.0,0,0,136.0,2,0.0,-13.600000000000001,13.600000000000001
29,165.33333333333334,-121.6,3,3,110.4,11,16.533333333333335,-12.16,11.040000000000001
30,48.0,0.0,0,0,48.0,3,4.800000000000001,0.0,4.800000000000001
31,84.5,-78.11764705882354,10,11,78.82352941176471,35,8.450000000000001,-7.811764705882354,7.882352941176471
34,48.0,-272.0,1,0,160.0,3,4.800000000000001,-27.200000000000003,16.0
36,70.0,-40.0,2,2,48.888888888888886,10,7.0,-4.0,4.888888888888889
38,8.0,0.0,0,0,8.0,2,0.8,0.0,0.8
40,132.0,-85.33333333333333,2,2,104.0,6,13.200000000000001,-8.533333333333333,10.4
42,0.0,-8.0,0,0,8.0,2,0.0,-0.8,0.8
43,0.0,-448.0,0,0,448.0,2,0.0,-44.800000000000004,44.800000000000004
44,32.0,0.0,0,0,32.0,2,3.2,0.0,3.2
45,0.0,-80.0,0,0,80.0,3,0.0,-8.0,8.0
46,72.0,0.0,0,0,72.0,2,7.2,0.0,7.2
48,64.0,-24.0,1,0,44.0,3,6.4,-2.4000000000000004,4.4
49,0.0,-208.0,0,0,208.0,2,0.0,-20.8,20.8
51,48.0,0.0,0,0,48.0,2,4.800000000000001,0.0,4.800000000000001
53,120.0,-200.0,0,1,160.0,3,12.0,-20.0,16.0
54,84.0,0.0,0,0,84.0,3,8.4,0.0,8.4
55,0.0,-56.0,0,0,56.0,3,0.0,-5.6000000000000005,5.6000000000000005
59,208.0,-210.66666666666663,1,1,210.0,5,20.8,-21.066666666666663,21.0
60,108.0,-61.333333333333336,0,1,80.0,6,10.8,-6.133333333333334,8.0
61,56.0,-24.0,0,1,34.666666666666664,4,5.6000000000000005,-2.4000000000000004,3.466666666666667
64,152.0,0.0,0,0,152.0,2,15.200000000000001,0.0,15.200000000000001
65,48.0,-56.0,0,1,50.66666666666666,4,4.800000000000001,-5.6000000000000005,5.066666666666666
67,8.0,-8.0,0,1,8.0,3,0.8,-0.8,0.8
68,0.0,-320.0,0,0,320.0,2,0.0,-32.0,32.0
69,0.0,-104.0,0,0,104.0,2,0.0,-10.4,10.4
